,Neighbourhhood
0,
1,North City Central/O'Connell Street
2,Clontarf
3,
4,City Centre
5,
6,City Centre
7,Ballsbridge
8,Grafton Street/St. Stephens Green
9,Temple Bar
10,
11,City Centre
12,
13,Ranelagh and Rathmines
14,
15,City Centre
16,
17,City Centre
18,
19,City Centre
20,City Centre
21,Ballsbridge
22,Drumcondra
23,
24,City Centre
25,City Centre
26,Temple Bar
27,Old City
28,
29,City Centre
30,
31,City Centre
32,
33,City Centre
34,
35,Ranelagh and Rathmines
36,
37,City Centre
38,
39,City Centre
40,
41,City Centre
42,
43,City Centre
44,
45,City Centre
46,
47,City Centre
48,
49,City Centre
50,City Centre
51,
52,City Centre
53,Monkstown
54,
55,City Centre
56,North City Central/O'Connell Street
57,
58,City Centre
59,
60,City Centre
61,
62,City Centre
63,
64,Drumcondra
65,Beaumont
66,Clontarf
67,Glasnevin
68,
69,City Centre
70,Ballsbridge
71,Docklands
72,
73,City Centre
74,
75,City Centre
76,Clontarf
77,Glasnevin
78,Old City
79,Ringsend/Irishtown
80,Smithfield
81,Temple Bar
82,Trinity College
83,
84,City Centre
85,
86,City Centre
87,
88,City Centre
89,
90,Grafton Street/St. Stephens Green
91,
92,City Centre
93,Old City
94,
95,City Centre
96,
97,City Centre
98,
99,City Centre
100,Artane
101,Clontarf
102,Fairview
103,Grafton Street/St. Stephens Green
104,Temple Bar
105,Trinity College
106,
107,City Centre
108,
109,City Centre
110,
111,City Centre
112,
113,City Centre
114,Temple Bar
115,
116,City Centre
117,
118,City Centre
119,Clontarf
120,
121,City Centre
122,
123,City Centre
124,
125,Old City
126,
127,City Centre
128,
129,City Centre
130,City Centre
131,Trinity College
132,Trinity College
133,
134,City Centre
135,
136,City Centre
137,
138,Drumcondra
139,East Wall
140,North Strand
141,Ringsend/Irishtown
142,
143,City Centre
144,City Centre
145,City Centre
146,
147,City Centre
148,
149,Ringsend/Irishtown
150,Ballybough
151,City Centre
152,East Wall
153,
154,City Centre
155,
156,City Centre
157,
158,City Centre
159,City Centre
160,North City Central/O'Connell Street
161,Ranelagh and Rathmines
162,Temple Bar
163,
164,City Centre
165,Grafton Street/St. Stephens Green
166,Phoenix Park and Surrounds
167,Trinity College
168,
