,Room_type
1,Entire home/apt
2,Entire home/apt
3,Private room
4,Private room
5,Not mentioned
6,Not mentioned
8,Entire home/apt
9,Not mentioned
10,Not mentioned
11,Entire home/apt
12,Entire home/apt
13,Private room
14,Private room
15,Entire home/apt
16,Entire home/apt
18,Entire home/apt
19,Not mentioned
21,Entire home/apt
22,Not mentioned
24,Shared room
25,Private room
26,Not mentioned
27,Not mentioned
28,Entire home/apt
29,Private room
30,Shared room
31,Private room
32,Shared room
34,Entire home/apt
35,Not mentioned
36,Not mentioned
37,Not mentioned
38,Not mentioned
40,Entire home/apt
41,Entire home/apt
42,Entire home/apt
43,Entire home/apt
44,Entire home/apt
45,Entire home/apt
47,Entire home/apt
48,Entire home/apt
50,Entire home/apt
51,Not mentioned
53,Entire home/apt
55,Entire home/apt
56,Entire home/apt
57,Not mentioned
59,Entire home/apt
60,Not mentioned
61,Not mentioned
62,Not mentioned
63,Not mentioned
64,Private room
65,Not mentioned
67,Entire home/apt
68,Entire home/apt
69,Not mentioned
70,Not mentioned
71,Not mentioned
72,Not mentioned
74,Entire home/apt
75,Not mentioned
76,Not mentioned
78,Entire home/apt
79,Not mentioned
80,Entire home/apt
82,Entire home/apt
83,Not mentioned
84,Entire home/apt
85,Private room
87,Private room
88,Entire home/apt
89,Not mentioned
91,Entire home/apt
92,Private room
94,Entire home/apt
95,Private room
96,Private room
97,Not mentioned
98,Not mentioned
99,Entire home/apt
101,Entire home/apt
102,Not mentioned
103,Not mentioned
105,Entire home/apt
107,Entire home/apt
108,Not mentioned
110,Entire home/apt
111,Entire home/apt
112,Private room
113,Shared room
114,Not mentioned
115,Not mentioned
117,Entire home/apt
118,Not mentioned
119,Not mentioned
120,Not mentioned
121,Entire home/apt
122,Not mentioned
123,Entire home/apt
124,Not mentioned
125,Not mentioned
126,Private room
127,Not mentioned
128,Not mentioned
129,Not mentioned
131,Entire home/apt
132,Entire home/apt
133,Private room
135,Entire home/apt
136,Entire home/apt
137,Private room
138,Private room
139,Not mentioned
141,Entire home/apt
142,Not mentioned
143,Not mentioned
144,Not mentioned
146,Private room
147,Private room
149,Private room
150,Not mentioned
152,Entire home/apt
154,Entire home/apt
156,Private room
157,Not mentioned
158,Not mentioned
160,Entire home/apt
161,Not mentioned
162,Entire home/apt
163,Not mentioned
165,Entire home/apt
166,Not mentioned
167,Entire home/apt
168,Not mentioned
170,Entire home/apt
171,Entire home/apt
172,Not mentioned
173,Not mentioned
175,Entire home/apt
176,Not mentioned
177,Not mentioned
178,Private room
179,Not mentioned
180,Entire home/apt
182,Entire home/apt
183,Not mentioned
184,Not mentioned
186,Entire home/apt
187,Entire home/apt
188,Shared room
189,Shared room
190,Not mentioned
191,Not mentioned
192,Not mentioned
193,Not mentioned
195,Entire home/apt
196,Not mentioned
197,Not mentioned
198,Not mentioned
199,Not mentioned
200,Not mentioned
201,Not mentioned
202,Not mentioned
203,Not mentioned
205,Entire home/apt
206,Private room
207,Not mentioned
208,Not mentioned
209,Entire home/apt
210,Entire home/apt
211,Private room
212,Not mentioned
214,Entire home/apt
215,Not mentioned
216,Not mentioned
217,Not mentioned
218,Not mentioned
220,Entire home/apt
222,Private room
223,Private room
224,Not mentioned
225,Not mentioned
226,Not mentioned
227,Not mentioned
229,Entire home/apt
230,Private room
231,Private room
232,Shared room
233,Shared room
234,Not mentioned
235,Not mentioned
236,Not mentioned
237,Not mentioned
239,Entire home/apt
240,Not mentioned
241,Not mentioned
242,Not mentioned
243,Not mentioned
244,Entire home/apt
245,Entire home/apt
246,Entire home/apt
247,Entire home/apt
248,Private room
249,Private room
250,Shared room
251,Entire home/apt
252,Private room
253,Private room
254,Entire home/apt
255,Not mentioned
257,Entire home/apt
258,Entire home/apt
259,Entire home/apt
260,Shared room
261,Entire home/apt
262,Private room
263,Entire home/apt
264,Private room
265,Not mentioned
266,Not mentioned
267,Not mentioned
268,Not mentioned
269,Not mentioned
271,Private room
272,Not mentioned
273,Not mentioned
274,Not mentioned
275,Not mentioned
276,Not mentioned
277,Not mentioned
278,Not mentioned
279,Not mentioned
280,Entire home/apt
281,Entire home/apt
282,Entire home/apt
283,Not mentioned
284,Not mentioned
285,Not mentioned
286,Not mentioned
287,Not mentioned
288,Not mentioned
289,Not mentioned
291,Entire home/apt
292,Not mentioned
293,Not mentioned
295,Entire home/apt
296,Not mentioned
298,Private room
299,Entire home/apt
300,Private room
301,Not mentioned
302,Not mentioned
304,Entire home/apt
305,Entire home/apt
306,Private room
307,Private room
308,Not mentioned
309,Not mentioned
310,Not mentioned
311,Not mentioned
312,Private room
313,Entire home/apt
314,Not mentioned
315,Not mentioned
317,Entire home/apt
319,Entire home/apt
320,Not mentioned
321,Entire home/apt
322,Entire home/apt
323,Entire home/apt
324,Entire home/apt
326,Entire home/apt
327,Entire home/apt
328,Entire home/apt
330,Entire home/apt
332,Entire home/apt
333,Entire home/apt
334,Entire home/apt
335,Entire home/apt
336,Entire home/apt
337,Entire home/apt
338,Not mentioned
339,Not mentioned
340,Not mentioned
342,Entire home/apt
343,Not mentioned
345,Entire home/apt
346,Entire home/apt
347,Private room
348,Private room
349,Entire home/apt
350,Not mentioned
351,Not mentioned
353,Entire home/apt
354,Private room
356,Entire home/apt
357,Not mentioned
358,Entire home/apt
360,Entire home/apt
361,Not mentioned
362,Not mentioned
364,Entire home/apt
365,Not mentioned
367,Private room
368,Entire home/apt
369,Not mentioned
370,Not mentioned
372,Entire home/apt
374,Entire home/apt
375,Not mentioned
376,Not mentioned
377,Not mentioned
378,Private room
380,Entire home/apt
381,Entire home/apt
382,Private room
383,Private room
384,Not mentioned
385,Entire home/apt
386,Entire home/apt
388,Entire home/apt
389,Entire home/apt
390,Private room
391,Private room
392,Not mentioned
394,Entire home/apt
395,Not mentioned
396,Not mentioned
398,Private room
399,Shared room
401,Entire home/apt
402,Not mentioned
404,Entire home/apt
